,basisofrecord,class,countrycode,day,decimallatitude,decimallongitude,eventdate,family,gbifid,genus,individualcount,issue,kingdom,month,occurrencestatus,order,phylum,species,year
1173579,HUMAN_OBSERVATION,Aves,DK,18.0,55.56901,8.27246,2021-09-18 00:00:00 UTC,Anatidae,3435615719,Anas,8.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,9.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
8840054,HUMAN_OBSERVATION,Aves,US,4.0,40.271667,-76.247734,2021-01-04 00:00:00 UTC,Anatidae,3504779802,Anas,,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,1.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
8226292,HUMAN_OBSERVATION,Aves,US,8.0,32.78428,-97.12662,2021-06-08 00:00:00 UTC,Anatidae,3625676043,Anas,5.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,6.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2961885,HUMAN_OBSERVATION,Aves,NL,18.0,51.85,4.65,2021-12-18 00:00:00 UTC,Anatidae,3733306536,Anas,4.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,12.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
407103,HUMAN_OBSERVATION,Aves,CA,18.0,45.758648,-73.70345,2021-05-18 00:00:00 UTC,Anatidae,3520981475,Anas,2.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2594181,HUMAN_OBSERVATION,Aves,CZ,11.0,48.766122,16.24303,2021-06-11 16:24:00 UTC,Anatidae,3307204793,Anas,,COORDINATE_ROUNDED,Animalia,6.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
7764339,HUMAN_OBSERVATION,Aves,NL,24.0,52.6,4.85,2022-01-24 00:00:00 UTC,Anatidae,3733216441,Anas,1.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,1.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
5890725,HUMAN_OBSERVATION,Aves,US,16.0,37.42675,-122.0224,2021-05-16 00:00:00 UTC,Anatidae,3540490052,Anas,100.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2758168,HUMAN_OBSERVATION,Aves,CA,20.0,45.902763,-64.36748,2021-03-20 00:00:00 UTC,Anatidae,3594151599,Anas,65.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4417419,HUMAN_OBSERVATION,Aves,US,22.0,47.304417,-122.5096,2021-04-22 00:00:00 UTC,Anatidae,3564277188,Anas,5.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,4.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
314208,HUMAN_OBSERVATION,Aves,US,15.0,47.212,-122.331345,2021-02-15 00:00:00 UTC,Anatidae,3596754102,Anas,7.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
8221459,HUMAN_OBSERVATION,Aves,US,7.0,35.206005,-111.65459,2021-08-07 00:00:00 UTC,Anatidae,3576876286,Anas,10.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,8.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
6951575,HUMAN_OBSERVATION,Aves,CA,16.0,45.389206,-75.67787,2021-12-16 00:00:00 UTC,Anatidae,3573120471,Anas,300.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,12.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
4253792,HUMAN_OBSERVATION,Aves,US,21.0,33.806976,-78.7113,2021-01-21 00:00:00 UTC,Anatidae,3518846282,Anas,1.0,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,1.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
1973808,MACHINE_OBSERVATION,Aves,NL,5.0,52.866,5.628,2022-05-05 11:13:35 UTC,Anatidae,3898710013,Anas,2.0,COUNTRY_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2022
8027239,MACHINE_OBSERVATION,Aves,BE,21.0,50.713,4.022,2021-02-21 20:08:11 UTC,Anatidae,3331109159,Anas,2.0,COUNTRY_DERIVED_FROM_COORDINATES,Animalia,2.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
3332210,HUMAN_OBSERVATION,Aves,GB,1.0,51.176136,-0.046885,2021-05-01 00:00:00 UTC,Anatidae,3542812020,Anas,,CONTINENT_DERIVED_FROM_COORDINATES,Animalia,5.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2021
2786465,HUMAN_OBSERVATION,Aves,DK,12.0,55.77966,12.33486,2023-03-12 00:00:00 UTC,Anatidae,4066220450,Anas,10.0,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,Animalia,3.0,PRESENT,Anseriformes,Chordata,Anas platyrhynchos,2023
