,individualcount,eventdate_datetime
0,8.0,2021-09-18 00:00:00+00:00
1,0.0,2021-01-04 00:00:00+00:00
2,5.0,2021-06-08 00:00:00+00:00
3,4.0,2021-12-18 00:00:00+00:00
4,2.0,2021-05-18 00:00:00+00:00
5,0.0,2021-06-11 16:24:00+00:00
6,1.0,2022-01-24 00:00:00+00:00
7,100.0,2021-05-16 00:00:00+00:00
8,65.0,2021-03-20 00:00:00+00:00
9,5.0,2021-04-22 00:00:00+00:00
10,7.0,2021-02-15 00:00:00+00:00
11,10.0,2021-08-07 00:00:00+00:00
12,300.0,2021-12-16 00:00:00+00:00
13,1.0,2021-01-21 00:00:00+00:00
14,2.0,2022-05-05 11:13:35+00:00
15,2.0,2021-02-21 20:08:11+00:00
16,0.0,2021-05-01 00:00:00+00:00
17,10.0,2023-03-12 00:00:00+00:00
18,60.0,2021-08-31 00:00:00+00:00
19,1.0,2021-05-10 00:00:00+00:00
20,4.0,2021-02-06 00:00:00+00:00
21,4.0,2021-07-06 00:00:00+00:00
22,4.0,2021-04-29 00:00:00+00:00
23,2.0,2021-04-03 00:00:00+00:00
24,32.0,2021-03-10 00:00:00+00:00
25,0.0,2022-04-24 13:46:00+00:00
26,0.0,2022-05-22 11:01:00+00:00
27,6.0,2021-03-25 00:00:00+00:00
28,18.0,2022-02-16 00:00:00+00:00
29,4.0,2021-08-24 00:00:00+00:00
30,0.0,2022-07-13 13:05:00+00:00
31,13.0,2021-03-21 00:00:00+00:00
32,4.0,2021-04-29 00:00:00+00:00
33,4.0,2021-03-08 00:00:00+00:00
34,14.0,2021-04-06 00:00:00+00:00
35,3.0,2021-09-16 00:00:00+00:00
36,90.0,2021-09-22 00:00:00+00:00
37,1.0,2022-11-01 00:00:00+00:00
38,0.0,2021-05-24 00:00:00+00:00
39,0.0,2022-08-06 12:23:00+00:00
40,24.0,2021-08-22 00:00:00+00:00
41,30.0,2021-03-12 00:00:00+00:00
42,2.0,2021-06-08 00:00:00+00:00
43,5.0,2021-06-01 00:00:00+00:00
44,1.0,2022-02-16 18:03:19+00:00
45,1.0,2021-04-30 00:00:00+00:00
46,5.0,2021-02-28 00:00:00+00:00
47,71.0,2021-08-05 00:00:00+00:00
48,15.0,2021-04-08 00:00:00+00:00
49,4.0,2021-03-13 00:00:00+00:00
50,4.0,2021-12-27 00:00:00+00:00
51,3.0,2021-09-27 00:00:00+00:00
52,75.0,2021-02-18 00:00:00+00:00
53,14.0,2021-05-06 00:00:00+00:00
54,2.0,2021-12-11 00:00:00+00:00
55,2.0,2022-02-23 02:49:16+00:00
56,16.0,2021-03-31 00:00:00+00:00
57,80.0,2021-01-08 00:00:00+00:00
58,4.0,2022-07-26 07:50:00+00:00
59,4.0,2021-03-02 00:00:00+00:00
60,0.0,2022-03-18 10:49:00+00:00
61,0.0,2022-11-25 11:37:00+00:00
62,103.0,2021-03-18 00:00:00+00:00
63,12.0,2021-11-12 00:00:00+00:00
64,30.0,2021-07-16 00:00:00+00:00
65,10.0,2021-10-27 00:00:00+00:00
66,12.0,2021-03-27 00:00:00+00:00
67,80.0,2021-01-18 00:00:00+00:00
68,1.0,2021-02-06 00:00:00+00:00
69,40.0,2021-10-24 00:00:00+00:00
70,3.0,2021-05-24 00:00:00+00:00
71,10.0,2021-01-23 00:00:00+00:00
72,4.0,2021-05-30 00:00:00+00:00
73,1.0,2022-01-10 09:07:37+00:00
74,15.0,2021-06-20 00:00:00+00:00
75,0.0,2021-01-25 00:00:00+00:00
76,2.0,2021-04-06 00:00:00+00:00
77,0.0,2021-04-13 08:42:00+00:00
78,1.0,2021-09-26 00:00:00+00:00
79,2.0,2021-04-24 00:00:00+00:00
80,2.0,2021-04-03 00:00:00+00:00
81,7.0,2021-05-28 00:00:00+00:00
82,29.0,2021-08-29 00:00:00+00:00
83,13.0,2021-10-07 00:00:00+00:00
84,900.0,2021-11-30 00:00:00+00:00
85,0.0,2021-08-05 00:00:00+00:00
86,15.0,2021-03-28 00:00:00+00:00
87,7.0,2021-07-29 00:00:00+00:00
88,0.0,2021-12-27 00:00:00+00:00
89,4.0,2021-08-05 00:00:00+00:00
90,5.0,2021-11-16 00:00:00+00:00
91,1.0,2021-04-10 00:00:00+00:00
92,35.0,2021-01-16 00:00:00+00:00
93,1.0,2022-07-02 00:00:00+00:00
94,1.0,2021-04-12 00:00:00+00:00
95,65.0,2023-03-16 00:00:00+00:00
96,4.0,2021-04-17 00:00:00+00:00
97,1.0,2021-06-30 00:00:00+00:00
98,50.0,2021-03-23 00:00:00+00:00
99,23.0,2021-09-16 00:00:00+00:00
100,10.0,2021-01-04 00:00:00+00:00
101,5.0,2021-09-19 00:00:00+00:00
102,1.0,2021-05-01 00:00:00+00:00
103,6.0,2021-12-19 00:00:00+00:00
104,3.0,2021-02-12 00:00:00+00:00
105,1.0,2021-03-13 00:00:00+00:00
106,1.0,2021-03-26 00:00:00+00:00
107,37.0,2021-01-31 00:00:00+00:00
108,2.0,2023-03-05 00:00:00+00:00
109,5.0,2021-03-01 00:00:00+00:00
110,75.0,2021-11-21 00:00:00+00:00
111,8.0,2021-05-29 00:00:00+00:00
